"","week","status","special","p_year","work","workplaces","mob2","scaling_fac","est_mob","est_mob2","est_scale"
"1","2020 / 16","Lockdown",NA,1,0.386484687083888,0.6625,0.43890625,0.543956841757335,2.46173757682127,1.63090114464409,2.02125131701593
"2","2020 / 17","Lockdown",NA,1,0.548527618051925,0.618571428571429,0.382630612244898,0.4612983418336,2.29850645986762,1.42179042446097,1.71410635806357
"3","2020 / 18","Lockdown",NA,1,0.726508226691042,0.58,0.3364,0.399290290601932,2.15518157668881,1.25000531447951,1.48369496216553
"4","2020 / 19","Some restrictions",NA,1,0.379097695553392,0.638571428571429,0.407773469387755,0.497341806303947,2.37282306596034,1.51521701497753,1.84803775562655
"5","2020 / 20","Some restrictions",NA,1,0.414829659318637,0.717142857142857,0.51429387755102,0.66466740698098,2.66478116132459,1.91102877569278,2.46979129336368
"6","2020 / 21","Some restrictions",NA,1,0.813988739714162,0.644285714285714,0.415104081632653,0.508128026459033,2.39405638198683,1.54245632610866,1.8881175193513
"7","2020 / 22","Some restrictions",NA,1,1.05197792088316,0.772857142857143,0.597308163265306,0.80816825523806,2.87180599258287,2.21949577426762,3.00301609405829
"8","2020 / 23","Some restrictions",NA,1,1.56565487170887,0.727142857142857,0.528736734693877,0.688905475202034,2.70193946437095,1.96469598194973,2.5598558417853
"9","2020 / 24","Some restrictions",NA,1,1.62771252239697,0.805714285714286,0.649175510204082,0.902463803712986,2.9938975597352,2.41222603384379,3.35340235067368
"10","2020 / 25","Some restrictions",NA,1,1.34869858931055,0.827142857142857,0.684165306122449,0.967824926184538,3.07352249483454,2.54224217787028,3.59627319029849
"11","2020 / 26","Some restrictions",NA,1,1.38893044128646,0.8,0.64,0.885549374472583,2.97266424370871,2.37813139496696,3.29055120191657
"12","2020 / 27","Some restrictions",NA,1,1.62422767272046,0.798571428571429,0.637716326530612,0.881354662124237,2.96735591470208,2.36964565188352,3.27496436265336
"13","2020 / 28","Some restrictions",NA,1,1.69570157167203,0.785714285714286,0.61734693877551,0.844212360300716,2.91958095364248,2.29395646357623,3.13694987195359
"14","2020 / 29","Some restrictions",NA,1,1.21344647519582,0.755714285714286,0.571104081632653,0.761817754560306,2.8081060445034,2.12212585363186,2.83078549900485
"15","2020 / 30","Some restrictions",NA,1,1.14549653579677,0.7,0.49,0.624662043143777,2.60108121324512,1.82075684927158,2.32113815006941
"16","2020 / 31","Some restrictions",NA,1,1.03574744661096,0.657142857142857,0.431836734693878,0.533190163913046,2.44183134304644,1.60463202543052,1.98124416920187
"17","2020 / 32","Some restrictions","Summer Hol",1,1.09202012940331,0.638571428571429,0.407773469387755,0.497341806303947,2.37282306596034,1.51521701497753,1.84803775562655
"18","2020 / 33","Some restrictions",NA,1,2.24305555555556,0.664285714285714,0.441275510204082,0.547588103074291,2.46837298807955,1.63970491350999,2.03474446786153
"19","2020 / 52","Some restrictions",NA,1,1.28942486085343,0.492857142857143,0.242908163265306,0.295587657648409,1.83137350728483,0.902605514304665,1.09835357596629
"20","2020 / 52","Some restrictions","Xmas",1,1.28942486085343,0.492857142857143,0.242908163265306,0.295587657648409,1.83137350728483,0.902605514304665,1.09835357596629
"21","2020 / 53","Some restrictions",NA,1,1.45516419942147,0.3775,0.14250625,0.235903637107048,1.40272594000005,0.529529042350017,0.876577883736196
"22","2020 / 53","Some restrictions","NYE",1,1.45516419942147,0.3775,0.14250625,0.235903637107048,1.40272594000005,0.529529042350017,0.876577883736196
"23","2021 / 01","Some restrictions",NA,1,1.28681672025723,0.694285714285714,0.482032653061224,0.611760777375174,2.57984789721863,1.79115154006893,2.27319923575828
"24","2021 / 02","Some restrictions",NA,1,1.06885796545106,0.695714285714286,0.484018367346939,0.614965756840272,2.58515622622525,1.79853011738814,2.28510839558042
"25","2021 / 03","Some restrictions",NA,1,0.96647280191584,0.695714285714286,0.484018367346939,0.614965756840272,2.58515622622525,1.79853011738814,2.28510839558042
"26","2021 / 04","Some restrictions",NA,1,1.17319439453827,0.707142857142857,0.500051020408164,0.641093680010327,2.62762285827823,1.85810473549675,2.38219532429291
"27","2021 / 05","Some restrictions",NA,1,1.00440270032286,0.685714285714286,0.470204081632653,0.592815618263331,2.54799792317889,1.7471985758941,2.20280223940434
"28","2021 / 06","Some restrictions",NA,1,0.54366640440598,0.671428571428571,0.450816326530612,0.562324991853087,2.49491463311266,1.67515696794707,2.08950424578183
"29","2021 / 07","Some restrictions",NA,1,0.961657390228819,0.715714285714286,0.51224693877551,0.661259057745352,2.65947283231797,1.903422698559,2.45712644598515
"30","2021 / 08","Some restrictions",NA,1,0.798391728891442,0.724285714285714,0.524589795918367,0.681912522929652,2.6913228063577,1.94928666117622,2.53387121781271
"31","2021 / 09","Some restrictions",NA,1,0.97876269621422,0.685,0.469225,0.591258886729151,2.54534375867558,1.74356047469277,2.19701768919345
