"","week","work","work_mob","other","other_mob","work_mob2","other_mob2","work_scaling_fac_lin","work_scaling_fac_quad","other_scaling_fac_lin","other_scaling_fac_quad"
"1","2020 / 16",0.335568513119534,0.465,0.81865889212828,0.4299125,0.216225,0.18482475765625,0.313624986686548,0.273703081603267,0.121671914747222,0.16482121930813
"2","2020 / 17",0.297121797121797,0.468571428571429,0.793436293436294,0.481807142857143,0.219559183673469,0.232138122908163,0.317748499237476,0.276311373759299,0.146597843619191,0.150689753028211
"3","2020 / 18",0.222927557879014,0.454285714285714,0.747946228528753,0.463704285714286,0.206375510204082,0.215021664589796,0.301254449033765,0.266383235885275,0.137902716248059,0.154063789595408
"4","2020 / 19",0.291530944625407,0.564285714285714,0.647882736156352,0.563225714285714,0.318418367346939,0.317223205232653,0.428258635602336,0.377569279379005,0.185704645565444,0.156119717751339
"5","2020 / 20",0.438202247191011,0.624285714285714,0.705393258426966,0.648471428571429,0.389732653061225,0.420515193673469,0.49753364645792,0.471871461380623,0.226649692952611,0.197933012763305
"6","2020 / 21",0.647105221643792,0.578571428571429,1.15712257453857,0.679424285714286,0.334744897959184,0.461617360018368,0.444752685806046,0.397867381988475,0.241516906080003,0.222261493169398
"7","2020 / 22",0.902220490845345,0.717142857142857,1.30112972341254,0.761801428571429,0.51429387755102,0.580341416573469,0.604744972782037,0.664648499371237,0.281084127097124,0.310748733316746
"8","2020 / 23",1.4395702775291,0.678571428571429,1.16987466427932,0.715622857142857,0.460459183673469,0.512116073665306,0.560211037232019,0.577663062929113,0.258903729979712,0.25689428025477
"9","2020 / 24",1.29947113265756,0.787142857142857,1.23997355663288,0.827022857142857,0.61959387755102,0.683966806236735,0.685565818780219,0.847587418277977,0.312411150465892,0.405287271712721
"10","2020 / 25",1.27770562770563,0.785714285714286,1.3978354978355,0.852265714285714,0.61734693877551,0.726356847746939,0.683916413759848,0.843530751273284,0.324535748054899,0.447683739661609
"11","2020 / 26",1.29440559440559,0.785714285714286,1.37016317016317,0.893692857142857,0.61734693877551,0.798686922908163,0.683916413759848,0.843530751273284,0.344433948704793,0.524285780659974
"12","2020 / 27",1.3013431013431,0.762857142857143,1.82173382173382,0.890832857142857,0.581951020408163,0.793583179365306,0.657525933433911,0.780455657385233,0.343060239345812,0.518716928589907
"13","2020 / 28",1.35518072289157,0.742857142857143,1.83493975903614,0.888941428571429,0.551836734693877,0.790216863430612,0.634434263148716,0.728093122433764,0.342151752237275,0.515056884460908
"14","2020 / 29",1.63600159299084,0.705714285714286,1.86300278773397,0.86465,0.498032653061225,0.7476196225,0.591549732619069,0.637851507734844,0.33048414287658,0.469668637675265
"15","2020 / 30",1.29501915708812,0.6,1.76872169975618,0.810834285714286,0.36,0.657452238889796,0.469493761111612,0.430839689653195,0.304635488899472,0.379803432636134
"16","2020 / 31",0.710282916213275,0.647142857142857,1.45729053318825,0.811774285714286,0.41879387755102,0.658977490946939,0.523924126783856,0.51404501595775,0.305086987779697,0.381246719329038
"17","2020 / 32",0.729991692052063,0.654285714285714,1.35198006092495,0.818425714285714,0.428089795918367,0.669820649804082,0.532171151885712,0.527931294813246,0.308281788366817,0.39158779940435
"18","2020 / 33",1.01481481481481,0.652857142857143,1.01481481481481,0.792251428571429,0.426222448979592,0.627662326073469,0.53052174686534,0.525127104068808,0.295709808908651,0.352193643599391
"19","2020 / 52",0.646408839779006,0.491428571428571,0.822678242567745,0.659345714285714,0.241502040816327,0.434736770946939,0.344138979563412,0.294997631584975,0.231872807658187,0.205924819963423
"20","2020 / 53",0.706923076923077,0.37,0.856923076923077,0.8105325,0.1369,0.65696293355625,0.203939552831874,0.235220291544115,0.304490535801528,0.37934102037874
"21","2021 / 01",0.964018353054818,0.762857142857143,0.972711905336875,0.71752,0.581951020408163,0.5148349504,0.657525933433911,0.780455657385233,0.259814961762293,0.258893144712978
"22","2021 / 02",0.921154779233382,0.748571428571428,0.957787481804949,0.678494285714286,0.560359183673469,0.460354495746939,0.6410318832302,0.742784496972224,0.241070210379356,0.221459526082436
"23","2021 / 03",1.1729594669628,0.751428571428572,0.796779566907274,0.688025714285714,0.564644897959184,0.473379383518367,0.644330693270943,0.750210989161471,0.245648326684611,0.229887241964578
"24","2021 / 04",1.16978989210676,0.747142857142857,0.776547416240772,0.703254285714286,0.558222448979592,0.49456659037551,0.63938247820983,0.739091452107605,0.252962883011652,0.244311213351208
"25","2021 / 05",0.991983967935872,0.752857142857143,0.926519706078824,0.711345714285714,0.566793877551021,0.506012725232653,0.645980098291314,0.753944436486098,0.25684934145784,0.252454957978061
"26","2021 / 06",0.991983967935872,0.714285714285714,0.926519706078824,0.725607142857143,0.510204081632653,0.526505725765306,0.601446162741295,0.657868446542122,0.263699361702948,0.267619231625273
"27","2021 / 07",1.33708609271523,0.672857142857143,0.988741721854305,0.77608,0.452736734693877,0.6023001664,0.553613417150535,0.565611315777857,0.287942381364364,0.329595853789158
"28","2021 / 08",1.14771241830065,0.807142857142857,0.942483660130719,0.813728571428572,0.651479591836735,0.662154187959184,0.708657489065413,0.90579484244397,0.306025666302717,0.384261735173061
"29","2021 / 09",0.925705794947994,0.808571428571429,0.904903417533432,0.81181,0.653787755102041,0.6590354761,0.710306894085784,0.910053521748704,0.305104141992471,0.381301644061998
"30","2021 / 10",0.968992248062016,0.8,0.920542635658915,0.775132857142857,0.64,0.600830946222449,0.700410463963558,0.88470345822034,0.287487451641584,0.328313555954126
