"","fortnight","work","work_mob","other","other_mob","work_mob2","other_mob2","work_scaling_fac_lin","work_scaling_fac_quad","other_scaling_fac_lin","other_scaling_fac_quad"
"1","2020 / 08",0.330199095344944,0.4,0.607828471702817,0.3990725,0.16,0.15925886025625,0.250159761422942,0.238640553184168,0.107866233328951,0.176619033610321
"2","2020 / 09",0.294095960393954,0.391428571428571,0.57212829830937,0.430379285714286,0.153216326530612,0.185226329571939,0.240448549214126,0.235415049057876,0.122426258352184,0.162284634784385
"3","2020 / 10",0.625377643504532,0.42,0.523867069486405,0.472047857142857,0.1764,0.222829179433163,0.272819256576845,0.247935780004424,0.141805298034482,0.150711277482461
"4","2020 / 11",0.713463897466266,0.474285714285714,0.623070090097712,0.541335714285714,0.22494693877551,0.293044355561225,0.334323600566012,0.285650123654171,0.174029396126603,0.150442404867474
"5","2020 / 12",0.742953536043731,0.549285714285714,0.584728390843867,0.555857857142857,0.301714795918367,0.308977957347449,0.41929670739315,0.367774042960315,0.180783291761902,0.15339015125743
"6","2020 / 13",0.750454162789667,0.588571428571429,0.634542957153618,0.622985,0.346416326530612,0.388110310225,0.463806430016889,0.424691016726377,0.212002494162872,0.180543960598515
"7","2020 / 14",0.880500999074029,0.62,0.62775963740923,0.664427142857143,0.3844,0.441463428165306,0.49941420811588,0.477104938676192,0.231276227420677,0.208413322001012
"8","2020 / 15",0.830089878858929,0.632857142857143,0.804064087534193,0.715594285714286,0.400508163265306,0.512075181746939,0.513981026429104,0.500309730143645,0.255072821780964,0.254518529707812
"9","2020 / 16",0.965710416153657,0.622142857142857,0.954444718049741,0.748446428571429,0.387061734693878,0.560172056441327,0.501842011168084,0.480901325997865,0.270351554846446,0.290933505729945
"10","2020 / 17",1.58306021893742,0.636428571428571,1.55108911332575,0.759142857142857,0.405041326530612,0.57629787755102,0.518027364849444,0.506937149132021,0.275326203763794,0.303939710252017
"11","2020 / 18",1.22065695437053,0.643571428571429,1.38810243723658,0.787470714285714,0.414184183673469,0.620110125857653,0.526120041690124,0.52042891351845,0.28850080152093,0.341113234944599
"12","2020 / 19",1.63791002583224,0.704285714285714,1.22410683823171,0.788937142857143,0.496018367346939,0.622421815379592,0.594907794835902,0.647863449190601,0.289182801803221,0.343145411517456
"13","2020 / 20",1.51162141860715,0.727857142857143,1.09470973280395,0.757962857142857,0.529776020408163,0.574507692808163,0.621613628410146,0.70348864322319,0.274777414447503,0.302477185401267
"14","2020 / 21",1.36965811965812,0.739285714285714,0.97542735042735,0.747725714285714,0.546543367346939,0.559093743804082,0.634561911355233,0.731696769637195,0.270016368151447,0.290077471059054
"15","2020 / 22",1.14483821263482,0.686428571428571,0.953170790658328,0.731504285714286,0.471184183673469,0.535098520018367,0.574676102734203,0.608013439307923,0.262472176037058,0.271488664567286
"16","2020 / 23",1.00812556570394,0.657857142857143,0.937299432238953,0.641525,0.432776020408163,0.411554325625,0.542305395371484,0.548360147930007,0.220624997488327,0.191963866142388
"17","2020 / 24",0.886788747606657,0.655714285714286,0.613505817664097,0.625334285714286,0.429961224489796,0.391042968889796,0.539877592319279,0.544089907788984,0.213095089841614,0.181897143949108
"18","2020 / 25",1.19601525318514,0.723571428571429,0.765999586153892,0.716511428571429,0.523555612244898,0.51338862727347,0.616758022305738,0.693119091058452,0.255499362629704,0.25546284497179
"19","2020 / 26",1.05257034310816,0.581428571428572,0.961201472159563,0.657432142857143,0.338059183673469,0.432217022461735,0.455713753176209,0.413631696812613,0.228023022956731,0.203114523291553
"20","2020 / 27",0.584752665876777,0.3,0.768438981042654,0.5889175,0.09,0.34682382180625,0.136862285653424,0.229314480119944,0.196158528033426,0.163983329041598
"21","2021 / 01",0.731142395129839,0.548571428571429,0.518429563397698,0.494864285714286,0.300930612244898,0.24489066127551,0.418487439709082,0.36682764141812,0.152416664336108,0.148005630853402
"22","2021 / 02",0.621946479294364,0.545714285714286,0.470145014202422,0.498672857142857,0.297804081632653,0.24867461845102,0.41525036897281,0.363073625437296,0.154187938327914,0.147804285726732
"23","2021 / 03",0.643560119811724,0.556428571428571,0.502153758379689,0.523178571428571,0.309612755102041,0.273715817602041,0.42738938423383,0.377411804416028,0.165584950351712,0.148221378092041
"24","2021 / 04",0.642524879479011,0.577142857142857,0.529023709509176,0.576262857142857,0.33309387755102,0.332078880522449,0.450858147071801,0.407147737766547,0.190273161252512,0.159291104546307
"25","2021 / 05",0.618312289944591,0.627142857142857,0.493838374663154,0.607211428571429,0.393308163265306,0.368705718987755,0.50750688495656,0.489870128739617,0.204666589519013,0.172163995669182
"26","2021 / 06",0.788457682944293,0.655,0.613117571244451,0.636035714285714,0.429025,0.404541429846939,0.539068324635211,0.542672812446234,0.218072064137421,0.18840586093518
"27","2021 / 07",0.953222768969078,0.583333333333333,0.674746370208371,0.7076,0.340277777777778,0.50069776,0.457871800333724,0.416549960605837,0.251354873822169,0.246463234251524
