"","fortnight","work_mob","other_mob","work_mob2","other_mob2","work_scaling_fac_lin","work_scaling_fac_quad","other_scaling_fac_lin","other_scaling_fac_quad"
"1","2020 / 08",0.4,0.3990725,0.16,0.15925886025625,0.175655636301072,0.167608166676225,0.105276577452527,0.172383999135422
"2","2020 / 09",0.391428571428571,0.430379285714286,0.153216326530612,0.185226329571939,0.170618762428327,0.167112476138198,0.114000640341246,0.15291310883186
"3","2020 / 10",0.42,0.472047857142857,0.1764,0.222829179433163,0.187408342004146,0.170003338604095,0.125612156162243,0.134321391370462
"4","2020 / 11",0.474285714285714,0.541335714285714,0.22494693877551,0.293044355561225,0.219308543198201,0.185245219154049,0.144920162696529,0.12192248281816
"5","2020 / 12",0.549285714285714,0.555857857142857,0.301714795918367,0.308977957347449,0.263381189584726,0.22731990685119,0.14896695589724,0.122255104223402
"6","2020 / 13",0.588571428571429,0.622985,0.346416326530612,0.388110310225,0.286466861501477,0.259090577119121,0.167672849921952,0.136993047807852
"7","2020 / 14",0.62,0.664427142857143,0.3844,0.441463428165306,0.304935399034877,0.28932422966319,0.179221268332854,0.156928226796194
"8","2020 / 15",0.632857142857143,0.715594285714286,0.400508163265306,0.512075181746939,0.312490709843996,0.302926679309081,0.193479690650484,0.192954052769922
"9","2020 / 16",0.622142857142857,0.748446428571429,0.387061734693878,0.560172056441327,0.306194617503064,0.291541541005725,0.20263438838696,0.222732467685418
"10","2020 / 17",0.636428571428571,0.759142857142857,0.405041326530612,0.57629787755102,0.314589407290973,0.306832311184529,0.205615094116174,0.233550002162235
"11","2020 / 18",0.643571428571429,0.787470714285714,0.414184183673469,0.620110125857653,0.318786802184928,0.314809453596914,0.213509037923512,0.26486106986159
"12","2020 / 19",0.704285714285714,0.788937142857143,0.496018367346939,0.622421815379592,0.354464658783543,0.391544965379173,0.213917678248192,0.266587156290451
"13","2020 / 20",0.727857142857143,0.757962857142857,0.529776020408163,0.574507692808163,0.368316061933593,0.425642609417556,0.205286271020036,0.23232959668166
"14","2020 / 21",0.739285714285714,0.747725714285714,0.546543367346939,0.559093743804082,0.375031893763921,0.443041792937199,0.20243355152013,0.222023411337063
"15","2020 / 22",0.686428571428571,0.731504285714286,0.471184183673469,0.535098520018367,0.343971171548656,0.367316910593002,0.197913229175526,0.206726277179879
"16","2020 / 23",0.657857142857143,0.641525,0.432776020408163,0.411554325625,0.327181591972837,0.331427253067654,0.172839273822284,0.144888820795158
"17","2020 / 24",0.655714285714286,0.625334285714286,0.429961224489796,0.391042968889796,0.325922373504651,0.328878184402135,0.168327510432361,0.137901946967191
"18","2020 / 25",0.723571428571429,0.716511428571429,0.523555612244898,0.51338862727347,0.36579762499722,0.419263888819802,0.193735265018184,0.193714844471364
"19","2020 / 26",0.581428571428572,0.657432142857143,0.338059183673469,0.432217022461735,0.282269466607522,0.252816455631385,0.177272016165495,0.152983042429292
"20","2020 / 27",0.3,0.5889175,0.09,0.34682382180625,0.116892107785707,0.181642081158803,0.158179476339181,0.126800897466098
"21","2021 / 27",0.496666666666667,0.40323,0.246677777777778,0.1625944329,0.232460380532593,0.195248274826971,0.10643512153913,0.169526441112944
"22","2021 / 01",0.548571428571429,0.494864285714286,0.300930612244898,0.24489066127551,0.26296145009533,0.226804186334488,0.131970265217887,0.127684733251419
"23","2021 / 02",0.545714285714286,0.498672857142857,0.297804081632653,0.24867461845102,0.261282492137748,0.224763421422544,0.133031575598399,0.126821151408234
"24","2021 / 03",0.556428571428571,0.523178571428571,0.309612755102041,0.273715817602041,0.26757858447868,0.232598756369975,0.139860427161529,0.122935687768893
"25","2021 / 04",0.577142857142857,0.576262857142857,0.33309387755102,0.332078880522449,0.279751029671149,0.249158145082099,0.154653087487654,0.12443894354854
"26","2021 / 05",0.627142857142857,0.607211428571429,0.393308163265306,0.368705718987755,0.309132793928832,0.296792677513667,0.163277329079332,0.131579002963242
"27","2021 / 06",0.655,0.636035714285714,0.429025,0.404541429846939,0.325502634015255,0.328032918277936,0.171309609479779,0.142378517086809
"28","2021 / 07",0.583333333333333,0.7076,0.340277777777778,0.50069776,0.283388771912576,0.254467929032246,0.191251973887788,0.186494182823373
